Position;Height above ground [m];Time;X [m];Y [m];Z [m];Opening Angle [°];Stalling Angle Left [°];Stalling Angle Right [°];Roll Angle Left [°];Roll Angle Right [°];Yaw Angle Left [°];Yaw Angle Right [°];Speed hor. [km/h];Speed vert. [km/h];Speed resulting [km/h];WindTime|WindName|WindSpeed|WindSpeedTangent|WindTurbulence|WindSpeedCleanTan|WindSpeedCross
109.00;3.90;2026-03-28T09:29:44.6815230+01:00;98.74;-2.18;-45.62;12.1;-6.141;-5.146;23.693;-45.608;-0.058;-12.954;92.916;-65.447;113.760;"2026-03-28T09:29:44.803+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:44.803+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:44.803+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:44.803+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:44.803+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:44.803+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:44.803+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:44.803+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:44.803+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:44.803+01:00|W10|1.1|0.86|0.14|0.86|0.69;2026-03-28T09:29:44.803+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:44.803+01:00|W12|1.2|0.11|0.13|0.11|1.22"
110.00;3.91;2026-03-28T09:29:44.7132220+01:00;99.55;-2.21;-46.19;13.4;-6.203;-5.036;22.631;-46.345;0.091;-13.513;93.026;-66.244;114.305;"2026-03-28T09:29:44.803+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:44.803+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:44.803+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:44.803+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:44.803+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:44.803+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:44.803+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:44.803+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:44.803+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:44.803+01:00|W10|1.1|0.86|0.14|0.86|0.69;2026-03-28T09:29:44.803+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:44.803+01:00|W12|1.2|0.11|0.13|0.11|1.22"
111.00;3.92;2026-03-28T09:29:44.7446421+01:00;100.36;-2.25;-46.77;14.4;-6.318;-5.121;23.115;-46.989;0.289;-14.155;93.083;-66.774;114.652;"2026-03-28T09:29:44.803+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:44.803+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:44.803+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:44.803+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:44.803+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:44.803+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:44.803+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:44.803+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:44.803+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:44.803+01:00|W10|1.1|0.86|0.14|0.86|0.69;2026-03-28T09:29:44.803+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:44.803+01:00|W12|1.2|0.11|0.13|0.11|1.22"
112.00;3.93;2026-03-28T09:29:44.7759042+01:00;101.16;-2.29;-47.34;15.2;-6.470;-5.304;24.274;-47.422;0.511;-14.819;93.117;-67.175;114.906;"2026-03-28T09:29:44.803+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:44.803+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:44.803+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:44.803+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:44.803+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:44.803+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:44.803+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:44.803+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:44.803+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:44.803+01:00|W10|1.1|0.86|0.14|0.86|0.69;2026-03-28T09:29:44.803+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:44.803+01:00|W12|1.2|0.11|0.13|0.11|1.22"
113.00;3.93;2026-03-28T09:29:44.8068926+01:00;101.97;-2.33;-47.93;15.9;-6.762;-5.514;24.422;-45.757;0.714;-15.250;93.181;-67.614;115.212;"2026-03-28T09:29:44.803+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:44.803+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:44.803+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:44.803+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:44.803+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:44.803+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:44.803+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:44.803+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:44.803+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:44.803+01:00|W10|1.1|0.86|0.14|0.86|0.69;2026-03-28T09:29:44.803+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:44.803+01:00|W12|1.2|0.11|0.13|0.11|1.22"
114.00;3.93;2026-03-28T09:29:44.8377842+01:00;102.77;-2.37;-48.51;16.3;-7.167;-5.748;24.539;-44.346;0.927;-15.502;93.253;-68.014;115.500;"2026-03-28T09:29:44.803+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:44.803+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:44.803+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:44.803+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:44.803+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:44.803+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:44.803+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:44.803+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:44.803+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:44.803+01:00|W10|1.1|0.86|0.14|0.86|0.69;2026-03-28T09:29:44.803+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:44.803+01:00|W12|1.2|0.11|0.13|0.11|1.22"
115.00;3.92;2026-03-28T09:29:44.8685620+01:00;103.57;-2.41;-49.10;16.6;-7.705;-6.010;24.619;-43.234;1.151;-15.546;93.334;-68.367;115.767;"2026-03-28T09:29:44.803+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:44.803+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:44.803+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:44.803+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:44.803+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:44.803+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:44.803+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:44.803+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:44.803+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:44.803+01:00|W10|1.1|0.86|0.14|0.86|0.69;2026-03-28T09:29:44.803+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:44.803+01:00|W12|1.2|0.11|0.13|0.11|1.22"
116.00;3.92;2026-03-28T09:29:44.8994180+01:00;104.37;-2.44;-49.68;16.8;-8.244;-6.272;24.700;-42.119;1.377;-15.590;93.415;-68.721;116.036;"2026-03-28T09:29:44.803+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:44.803+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:44.803+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:44.803+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:44.803+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:44.803+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:44.803+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:44.803+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:44.803+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:44.803+01:00|W10|1.1|0.86|0.14|0.86|0.69;2026-03-28T09:29:44.803+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:44.803+01:00|W12|1.2|0.11|0.13|0.11|1.22"
117.00;3.92;2026-03-28T09:29:44.9302524+01:00;105.17;-2.48;-50.27;17.0;-8.762;-6.511;24.794;-40.755;1.594;-15.570;93.504;-69.071;116.312;"2026-03-28T09:29:45.051+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:45.051+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:45.051+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:45.051+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:45.051+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:45.051+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:45.051+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:45.051+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:45.051+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:45.051+01:00|W10|1.1|0.77|0.06|0.77|0.64;2026-03-28T09:29:45.051+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.051+01:00|W12|1.2|0.11|0.13|0.11|1.22"
118.00;3.91;2026-03-28T09:29:44.9609525+01:00;105.96;-2.51;-50.86;16.9;-9.205;-6.664;24.940;-38.484;1.784;-15.318;93.623;-69.406;116.610;"2026-03-28T09:29:45.051+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:45.051+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:45.051+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:45.051+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:45.051+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:45.051+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:45.051+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:45.051+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:45.051+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:45.051+01:00|W10|1.1|0.77|0.06|0.77|0.64;2026-03-28T09:29:45.051+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.051+01:00|W12|1.2|0.11|0.13|0.11|1.22"
119.00;3.90;2026-03-28T09:29:44.9915890+01:00;106.76;-2.54;-51.45;16.7;-9.557;-6.756;24.504;-37.138;1.923;-14.984;93.774;-69.676;116.890;"2026-03-28T09:29:45.051+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:45.051+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:45.051+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:45.051+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:45.051+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:45.051+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:45.051+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:45.051+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:45.051+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:45.051+01:00|W10|1.1|0.77|0.06|0.77|0.64;2026-03-28T09:29:45.051+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.051+01:00|W12|1.2|0.11|0.13|0.11|1.22"
120.00;3.89;2026-03-28T09:29:45.0221807+01:00;107.55;-2.57;-52.05;16.4;-9.843;-6.804;23.660;-36.442;2.026;-14.594;93.948;-69.901;117.157;"2026-03-28T09:29:45.051+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:45.051+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:45.051+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:45.051+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:45.051+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:45.051+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:45.051+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:45.051+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:45.051+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:45.051+01:00|W10|1.1|0.77|0.06|0.77|0.64;2026-03-28T09:29:45.051+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.051+01:00|W12|1.2|0.11|0.13|0.11|1.22"
121.00;3.88;2026-03-28T09:29:45.0534162+01:00;108.37;-2.60;-52.65;15.9;-9.742;-6.826;23.855;-35.643;1.929;-14.157;94.002;-70.033;117.280;"2026-03-28T09:29:45.051+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:45.051+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:45.051+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:45.051+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:45.051+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:45.051+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:45.051+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:45.051+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:45.051+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:45.051+01:00|W10|1.1|0.77|0.06|0.77|0.64;2026-03-28T09:29:45.051+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.051+01:00|W12|1.2|0.11|0.13|0.11|1.22"
122.00;3.87;2026-03-28T09:29:45.0846831+01:00;109.19;-2.64;-53.26;15.4;-9.622;-6.847;24.103;-34.838;1.822;-13.718;94.050;-70.161;117.396;"2026-03-28T09:29:45.051+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:45.051+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:45.051+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:45.051+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:45.051+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:45.051+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:45.051+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:45.051+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:45.051+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:45.051+01:00|W10|1.1|0.77|0.06|0.77|0.64;2026-03-28T09:29:45.051+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.051+01:00|W12|1.2|0.11|0.13|0.11|1.22"
123.00;3.87;2026-03-28T09:29:45.1159488+01:00;110.00;-2.67;-53.87;14.8;-9.501;-6.868;24.350;-34.033;1.715;-13.279;94.098;-70.289;117.513;"2026-03-28T09:29:45.051+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:45.051+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:45.051+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:45.051+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:45.051+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:45.051+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:45.051+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:45.051+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:45.051+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:45.051+01:00|W10|1.1|0.77|0.06|0.77|0.64;2026-03-28T09:29:45.051+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.051+01:00|W12|1.2|0.11|0.13|0.11|1.22"
124.00;3.86;2026-03-28T09:29:45.1471268+01:00;110.82;-2.70;-54.48;14.2;-9.129;-6.860;23.951;-34.003;1.446;-12.917;94.201;-70.577;117.766;"2026-03-28T09:29:45.051+01:00|W1|2.0|1.89|0.04|1.89|0.42;2026-03-28T09:29:45.051+01:00|W2|1.5|1.42|0.03|1.42|0.11;2026-03-28T09:29:45.051+01:00|W3|1.6|1.42|0.01|1.42|0.55;2026-03-28T09:29:45.051+01:00|W4|1.3|0.90|0.01|0.90|0.95;2026-03-28T09:29:45.051+01:00|W5|1.1|1.07|0.03|1.07|0.11;2026-03-28T09:29:45.051+01:00|W6|1.4|1.10|0.07|1.10|0.88;2026-03-28T09:29:45.051+01:00|W7|1.6|1.22|0.07|1.22|1.00;2026-03-28T09:29:45.051+01:00|W8|1.6|0.83|0.13|0.83|1.31;2026-03-28T09:29:45.051+01:00|W9|0.8|0.33|0.11|0.33|0.65;2026-03-28T09:29:45.051+01:00|W10|1.1|0.77|0.06|0.77|0.64;2026-03-28T09:29:45.051+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.051+01:00|W12|1.2|0.11|0.13|0.11|1.22"
125.00;3.85;2026-03-28T09:29:45.1781793+01:00;111.63;-2.74;-55.09;13.6;-8.644;-6.832;23.555;-33.984;1.126;-12.594;94.307;-70.879;118.028;"2026-03-28T09:29:45.302+01:00|W1|1.9|1.89|0.01|1.89|0.33;2026-03-28T09:29:45.302+01:00|W2|1.4|1.38|0.02|1.38|0.15;2026-03-28T09:29:45.302+01:00|W3|1.7|1.48|0.05|1.48|0.59;2026-03-28T09:29:45.302+01:00|W4|1.3|0.89|0.03|0.89|0.94;2026-03-28T09:29:45.302+01:00|W5|1.1|1.10|0.05|1.10|0.16;2026-03-28T09:29:45.302+01:00|W6|1.5|1.16|0.15|1.16|0.96;2026-03-28T09:29:45.302+01:00|W7|1.6|1.22|0.06|1.22|1.00;2026-03-28T09:29:45.302+01:00|W8|1.5|0.81|0.07|0.81|1.27;2026-03-28T09:29:45.302+01:00|W9|0.7|0.35|0.16|0.35|0.59;2026-03-28T09:29:45.302+01:00|W10|1.1|0.65|0.08|0.65|0.71;2026-03-28T09:29:45.302+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.302+01:00|W12|1.3|0.02|0.06|0.02|1.28"
126.00;3.84;2026-03-28T09:29:45.2086779+01:00;112.43;-2.76;-55.69;13.1;-7.983;-6.740;24.384;-32.595;0.823;-12.359;94.326;-70.960;118.089;"2026-03-28T09:29:45.302+01:00|W1|1.9|1.89|0.01|1.89|0.33;2026-03-28T09:29:45.302+01:00|W2|1.4|1.38|0.02|1.38|0.15;2026-03-28T09:29:45.302+01:00|W3|1.7|1.48|0.05|1.48|0.59;2026-03-28T09:29:45.302+01:00|W4|1.3|0.89|0.03|0.89|0.94;2026-03-28T09:29:45.302+01:00|W5|1.1|1.10|0.05|1.10|0.16;2026-03-28T09:29:45.302+01:00|W6|1.5|1.16|0.15|1.16|0.96;2026-03-28T09:29:45.302+01:00|W7|1.6|1.22|0.06|1.22|1.00;2026-03-28T09:29:45.302+01:00|W8|1.5|0.81|0.07|0.81|1.27;2026-03-28T09:29:45.302+01:00|W9|0.7|0.35|0.16|0.35|0.59;2026-03-28T09:29:45.302+01:00|W10|1.1|0.65|0.08|0.65|0.71;2026-03-28T09:29:45.302+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.302+01:00|W12|1.3|0.02|0.06|0.02|1.28"
127.00;3.83;2026-03-28T09:29:45.2391077+01:00;113.23;-2.79;-56.29;12.7;-7.298;-6.516;25.041;-31.623;0.653;-12.119;94.332;-71.018;118.128;"2026-03-28T09:29:45.302+01:00|W1|1.9|1.89|0.01|1.89|0.33;2026-03-28T09:29:45.302+01:00|W2|1.4|1.38|0.02|1.38|0.15;2026-03-28T09:29:45.302+01:00|W3|1.7|1.48|0.05|1.48|0.59;2026-03-28T09:29:45.302+01:00|W4|1.3|0.89|0.03|0.89|0.94;2026-03-28T09:29:45.302+01:00|W5|1.1|1.10|0.05|1.10|0.16;2026-03-28T09:29:45.302+01:00|W6|1.5|1.16|0.15|1.16|0.96;2026-03-28T09:29:45.302+01:00|W7|1.6|1.22|0.06|1.22|1.00;2026-03-28T09:29:45.302+01:00|W8|1.5|0.81|0.07|0.81|1.27;2026-03-28T09:29:45.302+01:00|W9|0.7|0.35|0.16|0.35|0.59;2026-03-28T09:29:45.302+01:00|W10|1.1|0.65|0.08|0.65|0.71;2026-03-28T09:29:45.302+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.302+01:00|W12|1.3|0.02|0.06|0.02|1.28"
128.00;3.81;2026-03-28T09:29:45.2694713+01:00;114.02;-2.83;-56.89;12.4;-6.590;-6.163;25.534;-31.053;0.609;-11.875;94.324;-71.055;118.145;"2026-03-28T09:29:45.302+01:00|W1|1.9|1.89|0.01|1.89|0.33;2026-03-28T09:29:45.302+01:00|W2|1.4|1.38|0.02|1.38|0.15;2026-03-28T09:29:45.302+01:00|W3|1.7|1.48|0.05|1.48|0.59;2026-03-28T09:29:45.302+01:00|W4|1.3|0.89|0.03|0.89|0.94;2026-03-28T09:29:45.302+01:00|W5|1.1|1.10|0.05|1.10|0.16;2026-03-28T09:29:45.302+01:00|W6|1.5|1.16|0.15|1.16|0.96;2026-03-28T09:29:45.302+01:00|W7|1.6|1.22|0.06|1.22|1.00;2026-03-28T09:29:45.302+01:00|W8|1.5|0.81|0.07|0.81|1.27;2026-03-28T09:29:45.302+01:00|W9|0.7|0.35|0.16|0.35|0.59;2026-03-28T09:29:45.302+01:00|W10|1.1|0.65|0.08|0.65|0.71;2026-03-28T09:29:45.302+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.302+01:00|W12|1.3|0.02|0.06|0.02|1.28"
129.00;3.80;2026-03-28T09:29:45.2998293+01:00;114.82;-2.86;-57.49;12.1;-5.882;-5.811;26.026;-30.483;0.566;-11.631;94.316;-71.092;118.163;"2026-03-28T09:29:45.302+01:00|W1|1.9|1.89|0.01|1.89|0.33;2026-03-28T09:29:45.302+01:00|W2|1.4|1.38|0.02|1.38|0.15;2026-03-28T09:29:45.302+01:00|W3|1.7|1.48|0.05|1.48|0.59;2026-03-28T09:29:45.302+01:00|W4|1.3|0.89|0.03|0.89|0.94;2026-03-28T09:29:45.302+01:00|W5|1.1|1.10|0.05|1.10|0.16;2026-03-28T09:29:45.302+01:00|W6|1.5|1.16|0.15|1.16|0.96;2026-03-28T09:29:45.302+01:00|W7|1.6|1.22|0.06|1.22|1.00;2026-03-28T09:29:45.302+01:00|W8|1.5|0.81|0.07|0.81|1.27;2026-03-28T09:29:45.302+01:00|W9|0.7|0.35|0.16|0.35|0.59;2026-03-28T09:29:45.302+01:00|W10|1.1|0.65|0.08|0.65|0.71;2026-03-28T09:29:45.302+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.302+01:00|W12|1.3|0.02|0.06|0.02|1.28"
130.00;3.79;2026-03-28T09:29:45.3300350+01:00;115.61;-2.89;-58.09;12.0;-5.176;-5.350;26.597;-29.872;0.572;-11.391;94.290;-71.162;118.186;"2026-03-28T09:29:45.302+01:00|W1|1.9|1.89|0.01|1.89|0.33;2026-03-28T09:29:45.302+01:00|W2|1.4|1.38|0.02|1.38|0.15;2026-03-28T09:29:45.302+01:00|W3|1.7|1.48|0.05|1.48|0.59;2026-03-28T09:29:45.302+01:00|W4|1.3|0.89|0.03|0.89|0.94;2026-03-28T09:29:45.302+01:00|W5|1.1|1.10|0.05|1.10|0.16;2026-03-28T09:29:45.302+01:00|W6|1.5|1.16|0.15|1.16|0.96;2026-03-28T09:29:45.302+01:00|W7|1.6|1.22|0.06|1.22|1.00;2026-03-28T09:29:45.302+01:00|W8|1.5|0.81|0.07|0.81|1.27;2026-03-28T09:29:45.302+01:00|W9|0.7|0.35|0.16|0.35|0.59;2026-03-28T09:29:45.302+01:00|W10|1.1|0.65|0.08|0.65|0.71;2026-03-28T09:29:45.302+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.302+01:00|W12|1.3|0.02|0.06|0.02|1.28"
131.00;3.79;2026-03-28T09:29:45.3596906+01:00;116.39;-2.92;-58.67;12.1;-4.477;-4.492;27.453;-29.108;0.755;-11.164;94.197;-71.355;118.230;"2026-03-28T09:29:45.302+01:00|W1|1.9|1.89|0.01|1.89|0.33;2026-03-28T09:29:45.302+01:00|W2|1.4|1.38|0.02|1.38|0.15;2026-03-28T09:29:45.302+01:00|W3|1.7|1.48|0.05|1.48|0.59;2026-03-28T09:29:45.302+01:00|W4|1.3|0.89|0.03|0.89|0.94;2026-03-28T09:29:45.302+01:00|W5|1.1|1.10|0.05|1.10|0.16;2026-03-28T09:29:45.302+01:00|W6|1.5|1.16|0.15|1.16|0.96;2026-03-28T09:29:45.302+01:00|W7|1.6|1.22|0.06|1.22|1.00;2026-03-28T09:29:45.302+01:00|W8|1.5|0.81|0.07|0.81|1.27;2026-03-28T09:29:45.302+01:00|W9|0.7|0.35|0.16|0.35|0.59;2026-03-28T09:29:45.302+01:00|W10|1.1|0.65|0.08|0.65|0.71;2026-03-28T09:29:45.302+01:00|W11|0.9|0.27|0.04|0.27|0.79;2026-03-28T09:29:45.302+01:00|W12|1.3|0.02|0.06|0.02|1.28"
